id	context	tone	vars	chars_ko	ko	en	ja	zh_cn
doc.title	일반 UI	문어체(기록)		12	Nine Winters	Nine Winters	Nine Winters	
title.continue	타이틀 화면	라벨(명사구)		6	▶ 이어하기	▶ Continue	▶ つづきから	
title.new	타이틀 화면	라벨(명사구)		6	✚ 새 게임	✚ New Game	✚ はじめから	
title.load	타이틀 화면	라벨(명사구)		7	💾 불러오기	💾 Load	💾 ロード	
title.help	타이틀 화면	라벨(명사구)		8	📖 생존 수첩	📖 Survivor's Journal	📖 生存手帳	
title.quit	타이틀 화면	라벨(명사구)		7	✖ 게임 종료	✖ Quit Game	✖ ゲーム終了	
title.quit.confirm	타이틀 화면	라벨(명사구)		10	게임을 종료할까요?	Quit the game?	ゲームを終了しますか？	
title.tools.export	타이틀 화면	라벨(명사구)		8	세이브 내보내기	Export save	セーブ書き出し	
title.tools.import	타이틀 화면	라벨(명사구)		8	세이브 가져오기	Import save	セーブ取り込み	
title.tools.settings	타이틀 화면	라벨(명사구)		2	설정	Settings	設定	
intro.next	인트로 생존 서사(문어체)	문어체(기록)		4	계속 ▸	Continue ▸	次へ ▸	
loading	일반 UI	시스템·다나까		21	SHELTER LOADING . . .	SHELTER LOADING . . .	SHELTER LOADING . . .	
hud.shelter	메인 HUD 라벨(아주 짧게)	라벨(명사구)		6	🏚️ 셸터	🏚️ Shelter	🏚️ シェルター	
hud.stat	메인 HUD 라벨(아주 짧게)	라벨(명사구)		9	성공한 탐험 0회	0 successful expeditions	探索成功 0回	
g.hunger.title	일반 UI	라벨(명사구)		13	배고픔 — 클릭해서 먹기	Hunger — click to eat food	空腹 — クリックで食べる	
g.thirst.title	일반 UI	라벨(명사구)		13	갈증 — 클릭해서 마시기	Thirst — click to drink water	渇き — クリックで飲む	
g.energy.title	일반 UI	라벨(명사구)		21	에너지 — 탐험에 쓰고, 잠으로 채운다	Energy — spent on expeditions, restored by sleep	エネルギー — 探索で消費、睡眠で回復	
btn.exp.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		7	탐험 (지도)	Expedition (map)	探索 (地図)	
btn.move.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		2	이주	Relocate	移住	
btn.craft.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		3	제작대	Workbench	作業台	
btn.knowledge.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		9	지식 (테크트리)	Knowledge (tech tree)	知識 (テックツリー)	
btn.clean.title	버튼 라벨(짧게 — 잘림 주의)	라벨(명사구)		17	청소 (물 1 → 청결 +20)	Clean (water 1 → cleanliness +20)	掃除 (水1 → 清潔+20)	
know.title	지식(책) 트리	시스템·다나까		2	지식	Knowledge	知識	
